編號,問題,答案
240,是否所有車輛種類都可以登錄道路救援？,服務範圍：台灣本島車子能到達之道路，若登錄之車輛為四輪傳動車時，服務僅提供於一般小型車所能行駛之道路。登錄車輛以領用小型牌照之自小客、廂型車及3.5噸以下之小貨車為限。(車身長度5200mm．寬度2000mm內)，營業車、保姆車、露營車、競技車(包含競技用途之一般車輛)、工程車、改裝車(指底盤、保險桿、側裙、排氣管等車輛零配件，距離地面高度低於15公分者)、農業車恕不接受登錄及免費道路救援服務。※詳細資料請查詢本行官網道路救援服務說明→https://www.ctbcbank.com/content//twrbo/zh_tw/cc_index/cc_additional/cc_add_index/cc_add_rescue.htmltarget=_blank>請點此<
241,信用卡道路救援服務項目有哪些？,服務項目包含：免費拖吊、更換備胎充氣、充電、加水、拖吊(鼎極卡100公里內免費，商務卡、商旅卡、鈦金卡(不含中信酷玩卡/Yahoo聯名卡)、御璽卡(不含中信享想卡/LINEPay信用卡)、寰遊美國運通卡、晶緻卡、公司卡50公里內免費)。
242,信用卡為何要開卡才能使用？,此作業是為了防止您的信用卡於寄送過程中遭他人截取冒用，故為保障您的權益，當您收到新卡時，必須完成開卡程序卡片才可使用。
243,信用卡是否有開卡期限?,信用卡只要在有效期限內，隨時都可以開卡，沒有時間限制，請您收到卡片後盡速開卡。
244,我收到信用卡要如何開卡呢?,您可透過以下方式完成信用卡開卡：1.網路銀行：網路銀行選擇「線上申請/線上開卡」，依畫面輸入您的卡片相關資料即可完成開卡，立即開卡→/twrbo/zh_tw/onlinecounter_index/cc_service/cc_service_activate.html>請點此<。2.語音開卡：市話撥打免付費電話0800-024-365，按1再按快速鍵889，依語音指示輸入卡片相關資料即可完成開卡。
245,要怎麼確認信用卡開卡已完成？,查詢信用卡是否完成開卡，可透過網路銀行輸入信用卡資料進行開卡，若已開卡成功系統即會回覆「此卡已於日前完成開卡手續」，立即查詢→/twrbo/zh_tw/onlinecounter_index/cc_service/cc_service_activate.html>請點此<。
246,信用卡開卡完成何時才能使用？,沒有時間限制，只要開卡程序完成即可使用，提醒您記得在卡片背面簽上您的大名喔！
247,信用卡背面一定要簽名嗎？,商店在消費現場會核對卡片背面簽名與簽單上是否相符，請您在開卡後務必簽名，可依自己的習慣進行簽名，中、英文均可。
248,只有新申辦的信用卡才須要開卡嗎？,只要您有進行補、換卡申請作業，例如毀補卡、掛補卡…等，皆須完成開卡手續，卡片才可使用。
249,信用卡可以代繳哪些費用?,信用卡可申請代繳以下費用：1.公用事業費用(含電費、水費、中華電信費、瓦斯費)2.公有路邊停車費3.健保費(限鄉鎮市區公所加保)4.E-TAG費用(含eTag自動儲值和代繳eTag智慧停車費)
250,如何設定信用卡代扣繳公用事業費用?,您可透過以下方式申請信用卡代扣繳公用事業費用(含水電費、中華電信費、瓦斯費及公有路邊停車費)：1.直接登入網路銀行進行申請→https://ctbc.tw/PA0610>請點此<2.填寫申請書並傳真或E-MAIL提供本行申請，下載申請書→/content/dam/twrbo/pdf/creditcard/applyform/cc_payment_utilities_pub_cc_991231.pdf>請點此<
251,如何設定信用卡代扣繳eTag自動儲值/智慧停車費?,您可填寫申請書，以傳真或E-MAIL方式提供本行進行申請，下載申請書→/content/dam/twrbo/pdf/creditcard/applyform/cc_payment_eTag.pdftarget=_blank>請點此<其他相關注意事項及說明請參閱本行官網→/twrbo/zh_tw/cc_index/cc_additional/cc_payment_index/cc_payment_eTag.html?id=TW_RB_CM_creditcard_000215target=_blank>請點此<
252,信用卡代扣繳公用事業費用/eTag自動儲值/智慧停車費需要手續費嗎？,信用卡代扣繳公用事業費用(含水電費、中華電信費、瓦斯費及公有路邊停車費)或/eTag自動儲值/智慧停車費，是不需要收取任何費用。
253,申請信用卡代扣繳公用事業費用前，需先終止原本其他家銀行信用卡(帳戶)代扣繳嗎?,申請信用卡代扣路邊停車費，需事先通知原設定代扣單位終止生效後，才可改用本行信用卡代扣繳。若申請代扣繳水電費、中華電信費、瓦斯費、健保費(限鄉鎮市區公所加保)及eTag自動儲值/代繳eTag智慧停車費，則為本行設定生效後，他行扣款即自動終止代繳，不會重複扣款，請您放心。
254,代扣繳公用事業費用是否享有信用卡回饋?,信用卡代扣繳公用事業費用及eTag費用，皆無回饋紅利點數、現金回饋及LINEPoints..等卡片回饋，但可累積信用卡年消費金額。
255,信用卡有提供刷卡分期的功能嗎?,信用卡刷卡提供單筆消費分期及帳單分期等付費分期功能，您可點選連結了解更多。1.單筆消費分期→https://ctbc.tw/doBJNw>請點此<2.帳單分期→https://ctbc.tw/GqOpc7>請點此<
256,如何申請信用卡消費分期?,信用卡刷卡消費可設定單筆消費分期或帳單分期，請直接點選進一步瞭解申請方式及立即設定：1.單筆消費分期，線上申請設定→https://ctbc.tw/doBJNw>請點此<2.帳單分期，線上申請設定→https://ctbc.tw/GqOpc7>請點此<3.透過電話客服設定，市話撥打0800-024365，手機撥打02-2745-8080，帳單分期按838，單筆分期按893，由專人為您服務。
257,信用卡付費分期提前結清有費用嗎?,付費分期提前結清除了按日計收分期利息外，會收取提前結清處理費，收取方式為：1.未到期期數超過核准期數之1/2，每次計收300元的提前結清處理費。2.未到期期數等同或未超過核准期數之1/2，每次計收150元的提前結清處理費，並一次計入信用卡帳單中收取。
258,付費分期可以提供的期數有哪些?金額多少可以分期?,"1.單筆分期:單筆消費滿NT3,000元，即可於當期帳單繳款截止日前申辦，提供3/6/9/12期4種期數供您自由選擇。2.帳單分期:當期帳單金額扣除當期最低應繳金額≧NT5,000元即可申請，提供3/6/12/18/24/30期6種期數供您自由選擇。"
259,信用卡要如何預借現金?,可透過以下方式申請：1.ATM單次提領限額：本行3萬元，他行2萬元，每日最高提領上限為10萬元(※需先設定預借現金密碼)。2.網路銀行和中信卡優惠APP：每次申請以20萬元為上限，立即申請→https://www.ctbcbank.com/html/mobileca/mcashadvance.html>請點此<3.透過線上客服人員申請→https://webchat.ctbcbank.com/webchat/index?Skill=c_lop&amp;Channel=CSC&amp;KeywordEnabled=N&amp;FromPageId=TW_CSC08>請點此<透過電話客服人員申請，市話請撥打0800-024-365按1，手機請撥打02-2745-8080按887，由專人為您服務。
260,如何設定預借現金密碼?,可透過以下方式申請:1.線上設定ATM固定預借現金密碼，設定成功即可於國內外ATM使用，立即設定→https://m.ctbcbank.com/MobileWeb/cashLoanPassword/init/#/?utm_source=line_ATM&amp;utm_medium=line_ATM1>請點此<。2.透過電話客服人員設定，市話請撥打0800-024365按1，手機請撥打02-2745-8080按887，或透過7-11ATM電話按0
261,如何查詢預借現金額度?,本行每月會依您的信用卡消費及銀行往來信用情況，評估調整您的預借現金額度，如欲查詢預借現金額度您可透過以下方式：1.透過線上客服人員為您查詢→https://webchat.ctbcbank.com/webchat/index?Skill=c_lop&amp;Channel=CSC&amp;KeywordEnabled=N&amp;FromPageId=TW_CSC08>請點此<2.透過電話客服人員查詢，市話撥打0800-024-365按1，手機撥打02-2745-8080按887由專人來為您服務。3.透過網銀查詢→https://ctbc.tw/MO1010>請點此<並選擇「申請」
262,信用卡預借現金手續費計算方式?,信用卡預借現金手續費收取方式說明：單筆預借現金手續費●國內：每筆預借金額x3.5%+150元。●國外：每筆預借金額，經國際清算程序換算成新台幣金額x3.5%+150元，及國外交易手續費1.5%。●雙幣卡：於國外地區預借現金，以約定外幣計收，每筆預借金額x3.5%+約定外幣(美元5元／日圓550元)。分期靈活金之分期利息●以您申請核准當下，所適用的分期利率按日計息。※瞭解更多→https://www.ctbcbank.com/html/mobileca/mtcacashadvance.html>請點此<
263,在國外可以預借現金嗎?,只要預借現金密碼定成功後，不需額外開通，即可在預借額度內於國內外ATM使用，請至提款機貼有「VISAPLUS」、「MASTERCIRRUS」、「EXPRESSCASH」等信用卡國際組織指定網路識別標誌之ATM提領當地貨幣。
264,請問信用卡額度是共用的嗎？,是的，本行歸戶信用卡額度共用，不論名下持有幾張卡(含附卡)都共用同一個信用額度。
265,信用卡額度是如何核定的?,本行核定信用卡額度，是依據您申請信用卡時所附的相關財力資料如：所得扣繳憑單、資產、在職證明等信用狀況綜合評定的，正附卡為共用同一額度。
266,請問貴行是否會主動幫我調高信用卡固定額度？,不好意思，您的額度是依照當時您辦卡時所附的財力証明來核定的，本行不會主動來幫您調高信用卡的固定額度，若您的額度不敷使用，皆可與本行申請，屆時附上您的最新財力證明文件，我們會依照您所附的財力及繳款記錄與消費狀況幫您進行審核！
267,如何申請調高信用卡固定額度?,您若持卡滿半年且信用正常，可依下述方式提出申請並附上最新財力證明文件(例如：最近一期扣繳憑單影本、薪資單影本…等)，經本行核可後調整之，本行並會通知持卡人調整後之信用額度。1.網路銀行：立即申請額度調升→https://www.ctbcbank.com/twrbo/zh_tw/onlinecounter_index/cc_service/cc_service_finances_limit.html?_nfpb=true&amp;_pageLabel=TW_RB_CM_creditcard_000170target=_blank>請點此<2.中信卡優惠APP：登入APP→選信用卡理財→信用卡額度申請→申請固定額度，由此申請快速又方便。(可直接拍照上傳財力文件)
268,為何申請調高信用卡固定額度還要附財力證明？,跟您說明一下，因客戶在所有金融機構的無擔保產品負債總額皆不得超過月收入22倍，以利客戶有效分配還款。若目前您欲調高額度，則須請您另外檢附最新的財力證明(如薪資扣繳憑單或存摺封面影本及近二個月的明細)，用以更新本行留存的財力資訊，我們將於收到您的財力申請起約三個工作天內審核完畢並以信函或簡訊通知，屆時再請您留意一下信件，謝謝！
269,如何申請調高信用卡臨時額度？,臨時額度申請方式如下：1.中信卡優惠APP：立即下載→https://www.ctbcbank.com/html/long/creditcard/cardapp/index.html?app=couponApp&amp;utm_source=ctbc&amp;utm_medium=facebook&amp;utm_content=fbintrotarget=_blank>請點此<(路徑點選：信用卡理財→信用卡額度申請→申請臨時額度)2.填寫「臨時額度需求申請單」：留下申請資訊，將再主動協助您後續處理，立即填寫→https://www.ctbcbank.com/twrbo/zh_tw/onlinecounter_index/cc_service/cc_service_finances_limit/cc_service_finances_limit_temp.htmltarget=_blank>請點此<※只要您在本行持卡滿半年，往來正常之卡友，當您出國旅遊、裝潢新居、結婚喜宴等情形需要較高額度使用時，即可申請調整臨時額度評估。※申請調高臨時額度的金額，仍需視您的繳款記錄及消費頻率、消費狀況而定，本行保留最終核准與否權利※調整臨時額度的期限，主要會視您信用卡帳單結算週期繳款為限，調整的期限一過後，額度將會恢復到您原本的固定額度。
270,臨時額度調整後之金額是否也可使用循環信用繳納，並有無其它用卡需注意的呢？,臨時額度調整後超過您固定額度以外使用的金額，將會列在次期帳單的最低應繳金額中，須一次繳清，因此超過固定額度部份的消費無法使用循環信用，無法預借現金、賭場交易以及購買分期付款的商品。
271,學生是否可以調高信用卡額度?,目前針對學生身分暫不提供信用卡額度提高申請。若您已非在學學生，可備妥財力證明或畢業證書，可透過客服人員為您服務，提出額度調高申請。
272,如何申請信用卡行動帳單？,信用卡行動帳單設定只需簡單兩步驟，設定完成後，將於最近一期帳單生效，且於帳單結帳後3個日曆天發送個人專屬帳單簡訊至留存的手機門號，立即申請→https://card.ctbcbank.com/vip/navigation>請點此<。
273,信用卡消費款項每月結帳後，多久才會收到帳單？,信用卡帳單收到時效，依帳單類型有所不同，區分如下：1.電子帳單：每月帳單結帳日後2~3個日曆天會MAIL至電子郵件信箱。2.行動帳單：每月帳單結帳日後3個日曆天會發送個人專屬行動帳單簡訊至手機門號。3.紙本帳單：每月帳單結帳日後3個營業日會平信寄送至帳單地址。
274,信用卡正附卡帳單能分開寄送嗎？,信用卡帳單是以歸戶方式結帳，故正、附卡消費皆合併在同一份帳單，無法分開列示，您可以透過帳單上所列示的卡號未四碼區分正附卡之交易。
275,信用卡年費如何計算？,本行信用卡種類眾多，依持有卡別種類而有不同年費收取規則，各卡年費收取方式詳細說明→https://service.ctbcbank.com/FAQ/Page01?kmid=4735>請點此<。
276,如何查詢信用卡年費計算期間和年消費金額？,信用卡年費計算期間是以各信用卡發卡日次月帳單起計算共12個月帳單之累積符合消費金額。因每張信用卡發卡時間不同，您可登入網路銀行查詢計算期間及年消費金額。※登入查詢→https://ctbc.tw/CQ0110>請點此<
277,哪些消費類型不計入信用卡年消費金額累積？,以下交易項目不計入信用卡年消費金額累積外，其餘消費均會計入︰信用卡年費、利息、逾期還款違約金、通信貸款、各項手續費(掛失手續費、調閱簽單手續費等)、帳單分期、餘額代償、非持卡人本人交易款項(如遺失被竊、偽卡交易等)。
278,如何申請信用卡電子帳單？ ,信用卡電子帳單可登入本行網路銀行設定，申請成功後，將於最近一期帳單生效，且於帳單結帳日後2~3個營業日寄發電子帳單至您留存的E-MAIL信箱，立即申請→https://ctbc.tw/MO0610>請點此<。
279,申請信用卡電子帳單成功後，還會一併寄送紙本帳單嗎？,信用卡帳單僅能設定一種寄送類型，若申請電子帳單成功後，將於最近一期帳單生效，且取消原本紙本帳單寄送。
280,如何查詢信用卡帳單金額？,信用卡近一期帳單金額及明細，您可透過以下方式查詢：1.使用智能客服，進行簡易身分驗證後，即可查詢→https://webchat.ctbcbank.com/webchat/index?Skill=c_gen&amp;Channel=WEBBANK&amp;KeywordEnabled=Y&amp;FromPageId=TW_RB_FAQ_003>請點此<2.登入本行網路銀行查詢→https://www.ctbcbank.com/CTCBPortalWeb/appmanager/ebank/rb?_nfpb=true&amp;_pageLabel=TW_RB_TX_creditcard_002001>請點此<
281,如何查詢歷史帳單明細？,信用卡歷史帳單明細，您可透過以下方式查詢：1.使用智能客服，進行簡易身分驗證後，即可查詢近六個月歷史帳單明細→https://webchat.ctbcbank.com/webchat/index?Skill=c_gen&amp;Channel=WEBBANK&amp;KeywordEnabled=Y&amp;FromPageId=TW_RB_FAQ_004>請點此<2.登入網路銀行查詢近六個月歷史帳單明細→https://www.ctbcbank.com/CTCBPortalWeb/appmanager/ebank/rb?_nfpb=true&amp;_pageLabel=TW_RB_TX_creditcard_002001>請點此<3.設定行動帳單類型者，可點選帳單簡訊網址，登入後點選『查看明細』，點選『歷史帳單』即可查詢近五個月帳單明細。
282,沒有收到最近一期信用卡帳單該如何查詢金額與明細？,信用卡帳單沒收到，您可透過以下方式查詢近一期帳單金額及明細：1.使用智能客服，進行簡易身分驗證後，即可查詢→https://webchat.ctbcbank.com/webchat/index?Skill=c_gen&amp;Channel=WEBBANK&amp;KeywordEnabled=Y&amp;FromPageId=TW_RB_FAQ_003>請點此<2.登入本行網路銀行查詢→https://www.ctbcbank.com/twrbc/twrbc-card/qu002/010>請點此<※若欲繳納信用卡帳款，可進行線上簡易身分驗證後，產生7-11超商繳款條碼立即繳費（限繳款金額小於(含)2萬元）→https://service.ctbcbank.com/digiform/#/creditcard/p/validate/user?page2=KM>請點此<。
283,信用卡電子帳單無法開啟怎麼辦？,信用卡電子帳單採附加加密檔案寄送，瀏覽電子帳單需請您輸入檔案密碼，密碼預設為「身分證字號」(英文字母大寫)，您亦可自行變更密碼。※本行所寄送的電子帳單為PDF格式，PDF檔案的讀取須透過Adobe專屬軟體才可閱讀，立即安裝→https://www.adobe.com/#>請點此<。
284,如何查詢信用卡結帳日及繳款截止日？,信用卡結帳日和繳款截止日可登入網路銀行查詢，若結帳日遇假日會提前一個營業日關帳，繳款截止日遇假日，可順延至下一個營業日繳納。登入網路銀行查詢→https://www.ctbcbank.com/twrbc/twrbc-card/qu000/010>請點此<。
285,信用卡帳單結帳日及繳款截止日可以變更嗎？,本行提供10個信用卡結帳日期，可依您的需求異動，一年限更改一次。
286,持信用卡(含簽帳金融卡)在國外消費會收取什麼費用？,持信用卡及簽帳金融卡於海外消費或消費商店是註冊在國外，即為國外交易，會收取國外交易手續費。包含發卡機構向各國際組織跨國清算給付之手續費1%(美國運通卡刷美金交易則為0%)，及發卡機構以交易金額之0.5%計算之國外交易服務費。※帳單列示交易國別非TW的國家，不論實體商店或網路交易類型，均會收取國外交易手續費。例如：搭乘UBER刷卡、Itunes音樂、跨國飯店訂房系統(Agoda、Hotels.com、trivago等)。※退款交易，則不加收國外交易手續費。※國外預借現金，除國外交易手續費外，另需收取預借現金手續費。
287,信用卡利息、違約金如何計算？,"持卡人若未於當期帳單繳款截止日前繳納最低應繳金額時，會依不同逾期還款期數產生違約金，並且各筆消費會於入帳日起以日計算利息，詳細說明https://service.ctbcbank.com/FAQ/Page01?kmid=4635>請點我<。1.當月未繳清金額1,000元(含)以下，不收取。2.延滯1期，收取違約金金額300元。3.連續延滯2期，收取違約金金額400元。4.連續延滯3期，收取違約金金額500元。"
288,如何更改信用卡帳單地址及通訊資料？,信用卡帳單地址或通訊資料有異動，請填寫通訊資料異動服務申請表單→https://csccontact.ctbcbank.com/OptiForm/HOME/step1?MainID=6&amp;Channel=WEBBANK>請點此<，本行將盡速確認您的需求並於一個營業日回覆您處理結果。
289,我的姓名有變更，應如何辦理? ,若您在本行僅持有信用卡，請填妥申請書資料並檢附相關文件後，以傳真或E-MAIL進行辦理。若您有開立本行存款帳戶或持有貸款(房貸/信貸)，需請您本人親自攜帶新的身分證、第二證件、存摺、原留印鑑及新印章到各分行辦理。
290,繳納信用卡帳款後，何時會入帳？ ,信用卡帳單繳款入帳時間會依繳納通路有所不同，區分如下：1.本行臨櫃、電匯繳納：2個營業日入帳。2.提款機、存款機、網路轉帳、電話語音轉帳繳納：2個營業日入帳。3.便利商店、帳戶自動扣款、代收款行庫繳款：3~4個營業日入帳。※上述入帳時間皆含繳款日當天。
291,如何查詢信用卡繳款紀錄？,您可使用智能客服，進行線上簡易身分驗證後，查詢最近一次信用卡繳款紀錄。立即查詢→https://webchat.ctbcbank.com/webchat/index?Skill=c_gen&amp;Channel=WEBBANK&amp;KeywordEnabled=Y&amp;FromPageId=TW_RB_FAQ_005>請點此<
292,如何申請帳戶自動扣繳信用卡帳款？,帳戶自動扣繳信用卡帳款，您可透過以下方式申請：本行帳戶扣繳1.網路銀行：登入設定→https://ctbc.tw/CA0110>請點此<。2.本行ATM：持本行金融卡至本行ATM，選擇「功能設定」→「信用卡款自動扣繳設定」。3.中信卡優惠APP：點選「帳單與繳費」→「信用卡帳單自動扣繳設定」。※線上申請限約定扣繳本人信用卡帳款，且成功申辦次一營業日生效。他行帳戶扣繳需請您填寫自動扣繳申請書蓋章(需與開戶印章相同)，附上存摺封面影本(無摺戶則不需檢附)後正本寄回，申請時效需45～60天，待生效後會簡訊通知客戶，下載申請書→/content/dam/twrbo/pdf/creditcard/applyform/cc_autopay_auth.pdf>請點此<※郵局扣繳作業只限正卡持卡人本人之帳戶始可辦理扣繳
293,信用卡設定帳戶自動扣繳，每月何時會扣款？,信用卡設定帳戶自動扣繳是於繳款截止日當天執行扣款，請您務必將扣款款項於繳款截止日當天下午3點半前存入約定自扣帳戶。※繳款截止日如遇例假日將順延至次一營業日執行扣款。
294,信用卡帳款自動扣繳失敗，怎麼辦？,信用卡自動扣款失敗時，請別擔心，您可透過其他方式繳款，繳款方式說明→https://service.ctbcbank.com/FAQ?layer1=846&amp;layer2=904>請點此<。若帳單不在手邊，可進行線上簡易身分驗證後，產生7-11超商繳款條碼立即繳費(限繳款金額小於(含)2萬元)→https://service.ctbcbank.com/digiform/#/creditcard/p/validate/user?page2=KM>請點此<。※若約定本行帳戶自動扣繳，每月會於指定帳戶連續扣款三次（分三個營業日扣繳），第一次扣款失敗會發送簡訊通知，請您儘快補入款項，本行於隔一營業日將會進行扣款，若第三次仍扣款失敗，需請您透過其他方式繳款。
295,如何查詢信用卡自動扣繳是否申請設定成功？ ,信用卡帳款申請本行帳戶自動扣繳，作業時間約2個工作天，如申請他行帳戶則需45~60個日曆天。本行會於自動扣繳生效時，以簡訊通知您第一次扣繳帳單月份，請您放心。
296,如何使用ATM繳納信用卡帳款？,請於ATM選擇「轉帳交易」，跨行轉帳銀行代號請輸822，轉入帳號輸入以下任一項：1.正卡人身分證字號「48+身分證字號」(英文字母轉換為兩碼數字，A=01，B=02，C=03…以此類推)，共計13碼。2.輸入歸戶名下任一張信用卡卡號，共計16碼。注意事項：1.跨行轉帳需自付跨行轉帳手續費。2.非約定帳號，轉帳日限額3萬元，超過3萬元，須分次轉帳繳納。3.使用多功能自動櫃員機，選擇「全國繳費稅」功能，可直接透過繳費項目進行信用卡繳款，且不受3萬元限制。4.信用卡帳款將於2個營業日入帳(含繳款日當天)。
297,如何使用郵局劃撥繳納信用卡帳款？,請填妥郵局劃撥單以下資料：1.收款人帳號：01126119。2.戶名：填寫中國信託商業銀行。3.請於劃撥單左側「通訊欄」註明正卡持卡人的身分證字號。※信用卡帳款將於3個營業日入帳(含繳款日當天)。
298,如何在本行櫃檯繳納信用卡帳款？,請填妥當期帳單上「繳款二聯單」之繳款金額欄位，或於分行填妥繳款單之正卡持卡人身分證字號及繳款金額，直接於分行櫃檯繳納。1.信用卡帳款將於2個營業日入帳(含繳款日當天)。2.若帳單不在手邊，可進行線上簡易身分驗證後，產生7-11超商繳款條碼立即繳費(限繳款金額小於(含)2萬元)→https://service.ctbcbank.com/digiform/#/creditcard/p/validate/user?page2=KM>請點此<。
299,如何在網路銀行繳納信用卡帳款？ ,1.本行網路銀行繳納信用卡帳款，限開立本行銀行帳戶且為網銀會員身份，即可登入進行繳款(可繳交本人及他人信用卡帳單)→https://ctbc.tw/MO0910>請點此<2.他行網路銀行繳納信用卡帳款，銀行代號請輸入「822」，繳款帳號請輸入「48+正卡人身分證字號」(含英文字母，A=01、B=02...以此類推)共13碼，或信用卡卡號共16碼。※跨行轉帳手續費需依各銀行收費為準。
300,沒有帶紙本帳單出門，也不是使用行動帳單(無條碼可使用)，如何在統一超商(7-11)繳信用卡款？,若信用卡帳單或信用卡不在手邊，您可透過線上簡易身分驗證後，產生7-11超商繳款條碼進行繳納，立即繳費→https://service.ctbcbank.com/digiform/#/creditcard/p/validate/user?page2=KM>請點此<。※7-11超商繳款，金額限小於2萬(含)元。
301,信用卡繳款截止日遇到假日，可以延後繳款嗎？ ,別擔心！信用卡帳單繳款截止日如遇到假日(含連續假期)，可順延至次一個營業日繳納。如設定帳戶自動扣繳信用卡帳款，也會順延至次一個營業日扣繳，實際扣款時間點，依各扣款帳號之行庫而有所不同。
302,請問用信用卡繳稅的方式？,●本國納稅義務人可透過以下方式取得授權碼：1.語音繳稅：請撥打中華電信412-1111按166#或412-6666按166#選擇繳稅類別→輸入身分證字號、稅額、信用卡卡號效期(房屋稅需輸入銷帳編號)→授權成功語音回報授權碼→(綜所稅需將授權碼填入申報書或軟體)。2.網路繳稅：財金繳稅網站→http://paytax.nat.gov.tw>請點此<綜所稅：選擇信用卡網路繳稅→繳稅類別綜合所得稅結算申報自繳稅款→輸入身分證字號、稅額、信用卡卡號效期→授權成功，將授權碼填入申報書或軟體房屋稅：依序輸入：銷帳編號／繳款金額／持卡人身份字號／代繳信用卡卡號／卡片有效月年，待回覆授權成功即可。●外籍人士如擬使用信用卡繳「綜所稅」，只能透過網路申報(下載申報程式)方式進行→http://paytax.nat.gov.tw/>請點此<※繳稅類別外僑結算申報自繳稅款僅能使用晶片金融卡繳納，無法使用信用卡
303,可以用自己的信用卡幫別人繳稅嗎？,納稅義務人以信用卡繳稅僅限以本人持有之中信卡繳納，若是夫妻合併申報可使用配偶之信用卡繳納
304,只有簽帳金融卡也可以拿來繳稅嗎？,可以的，只要是中國信託發行之信用卡(含簽帳金融卡)都可以用來繳稅，惟公司卡及採購卡除外。但簽帳金融卡無分期功能，無法享有分期0利率優惠哦！
305,信用卡繳稅會手續費嗎？會有刷卡回饋嗎？,至108/12/31止，刷中國信託信用卡(含簽帳金融卡)繳「汽機車牌照稅、房屋稅、地價稅、營業稅、綜所稅」，不限卡別、不限稅額，一律「免手續費」，但該筆刷卡繳稅金額一律無提供刷卡點數、刷卡金、電信點、哩程、LINEPoints等回饋，僅中國信託商旅鈦金卡繳稅可享0.3%現金回饋。(一次付清或分期付款皆可享有，如使用分期繳稅，回饋金將依每期分期稅金分期回饋至信用卡帳上)
306,用中信卡繳稅已取得授權(刷卡成功)，但是算錯金額了，要怎麼取消授權？,目前僅有「綜所稅」有提供取消授權機制，國稅局針對其他繳稅項目，均無提供取消機制
307,如何查詢用信用卡是否繳稅成功？,您可透過繳稅網路平台→https://paytax.nat.gov.tw/target=_blank>請點此<及繳稅語音(412-6666)查詢是否繳稅成功。
308,我的信用卡額度不足無法完成繳稅，該怎麼辦？,1.可檢附財力證明透過本行官網申請調高信用卡固定額度→https://ctbc.tw/TB0004target=_blank>請點此<。2.可申請提高臨時性額度→https://ctbc.tw/TB0005target=_blank>請點此<填寫臨時額度需求申請單留下申請資訊，將再主動協助您後續處理。※本行保留最終核准與否權利，審核完成本行即會簡訊通知您。
309,信用卡繳稅可以免息分期嗎？要怎麼申請呢？,1.108年僅有繳交綜所稅有提供0利率分期服務(其餘稅款皆無)，申請期間為稅款入帳後108/6/6～108/7/31，您可選擇分6期或12期，皆為免利息、免手續費，只要繳稅金額大於NT12元以上即可設定。2.其餘稅款如有分期需求，可參考設定3~12期付費分期繳款。※簡單三步驟即可完成設定，立即試算及申辦→https://m.ctbcbank.com/MobileWeb/c_FinanceManage/ccInstallment/init/#/>請點此<
310,申請繳綜所稅0利率分期如果想提前結清，會收取費用嗎？,因108年綜所稅分6期或12期皆為0利率分期，故不會收取提前結清處理費。
311,有申請繳稅專用臨時額度可以辦理分期嗎？,因為臨時額度並非您原有的信用額度，所以僅能針對您固定額度內的剩餘額度繳稅金額進行分期喔。
312,簽帳金融卡也可以辦理繳稅分期嗎？,因簽帳金融卡無分期功能，故無法享有分期0利率優惠喔！
313,請問刷中信卡繳綜所稅款也可以納入年消費累計嗎？,可以，不論您使用中國信託任何一張信用卡(鼎極/鈦金/御璽/白金/金/普)繳綜所稅，該筆稅款均會被計入年消費金額計算。
314,LINE POINTS額外加碼回饋點數的商店有那些?點數的有效期是？,1.目前額外加碼回饋點數的商店有：Hotels.com(須輸入優惠代碼限指定網頁https://tw.hotels.com/jiu-dian-you-hui/linepaycard/?rffrid=mdp.hcom.TW.808.000.11&amp;PSRC=AFF99target=_blank>請點此<)、秀泰影城、全國加油站(限自助加油機刷卡加油)、LINETV(限指定網頁<atarget=_blankhref=https://www.linetv.tw/purchase>請點此<)、LINESTORE(限指定網頁https://store.line.me/target=_blank>請點此<)、LINE酷券、agnèsb.、SPORTb.、agnèsb.CAFÉ、STUDIOA、屈臣氏、大苑子、美廉社..等，配合商店常會新增異動，詳細商店資訊請參閱本行官網→https://www.ctbcbank.com/tw/html/long/creditcard/LINEPay/stores.htmltarget=_blank>請點此<2.回饋點數有效期間長達180天且是入點之後開始起算，故點數入帳時間不影響您使用點數的權益。註：2019/5/8起透過LINEPay卡刷卡回饋入點之LINEPOINTS將改以『一般點數』回饋，一般點數的效期為自最後一次獲得點數當日起算180天止，只要持續使用LINEPay卡，符合回饋資格的消費也會持續入點，點數效期就可以一直展延。
315,我不常出國，海外消費回饋2.8%這樣的回饋我都用不到呢？,海外消費不僅在「出國觀光、商務旅遊」才用得到，客戶常使用的「線上交易」有些亦為國外交易，舉凡：電商購物eBay、Amazon、日本樂天(Rakuten)、淘寶網/天貓、ASOS、Zalora、Shopbop等國外購物網站；旅遊訂房Hotels.com、Agoda、Expedia、Booking.com、Ctrip攜程、Trips.com等；交通外送Uber、UberEats；其他iTunes(AppStore)、GooglePlay、影音平台Netflix等，均在海外消費回饋項目中，貼近您的日常生活，歡迎您體驗看看。
316,LINE Pay信用卡海外消費最高享2.8%，為何簽帳金融卡僅回饋1%？,不同支付工具有不同特性，簽帳金融卡特色是刷卡連動銀行帳戶即時扣款，便於整體帳戶管理，客戶可依自身需求選擇適合的支付工具。歡迎您辦理一張LINEPay信用卡，享有更多的優惠服務喔！
